observation_name,parameter_name,n_samples,sen_mean,sen_mean_abs,sen_std_dev
mod_obs5_4,Total Porosity ,4,-0.0193441,0.0193441,0.0386882
mod_obs5_4,Min. Vapor Porosity,4,0.0565302,0.0565302,0.113054
mod_obs5_4,FOC,4,-0.0756025,0.0756025,0.1512
mod_obs5_4,D {air},4,0.112856,0.112856,0.224653
mod_obs5_4,Pore Size Dist. Coeff. ,4,9.96E-05,9.96E-05,0.000197274
mod_obs5_4,Vapor Pressure ,4,-2.58E-05,2.58E-05,5.16E-05
mod_obs5_4,Soil Source Top Conc. ,4,3.10E-07,3.10E-07,6.21E-07
mod_obs5_4,Soil Source Bottom Conc. ,4,4.10E-06,4.10E-06,8.21E-06
mod_obs5_4,Min Soil Moisture,4,-0.100689,0.100689,0.198686
mod_obs5_4,q air slab,4,-0.122891,0.122891,0.245772
mod_obs5_4,q air vims,4,-0.0502152,0.0502152,0.100153
mod_obs0_1,Total Porosity ,4,-13117.1,13117.2,24195.2
mod_obs0_1,Min. Vapor Porosity,4,-1244.24,1273.64,2506.24
mod_obs0_1,FOC,4,-1.34E+06,1.34E+06,2.66E+06
mod_obs0_1,D {air},4,-14945.5,15727.9,30936.2
mod_obs0_1,Pore Size Dist. Coeff. ,4,660.907,661.82,1319.97
mod_obs0_1,Vapor Pressure ,4,-174.066,174.077,348.146
mod_obs0_1,Soil Source Top Conc. ,4,0,0,0
mod_obs0_1,Soil Source Bottom Conc. ,4,0,0,0
mod_obs0_1,Min Soil Moisture,4,-825774,825780,1.65E+06
mod_obs0_1,q air slab,4,-7.84E+07,7.84E+07,1.57E+08
mod_obs0_1,q air vims,4,0,0,0
mod_obs5_7,Total Porosity ,4,-0.0344889,0.0344889,0.0689778
mod_obs5_7,Min. Vapor Porosity,4,0.212148,0.212148,0.424287
mod_obs5_7,FOC,4,-0.283228,0.283228,0.566449
mod_obs5_7,D {air},4,0.422945,0.422945,0.844324
mod_obs5_7,Pore Size Dist. Coeff. ,4,0.00034441,0.00034441,0.000686177
mod_obs5_7,Vapor Pressure ,4,-8.99E-05,8.99E-05,0.000179804
mod_obs5_7,Soil Source Top Conc. ,4,3.06E-06,3.06E-06,6.12E-06
mod_obs5_7,Soil Source Bottom Conc. ,4,3.78E-05,3.78E-05,7.55E-05
mod_obs5_7,Min Soil Moisture,4,-0.310701,0.310701,0.617475
mod_obs5_7,q air slab,4,-0.346031,0.346031,0.692055
mod_obs5_7,q air vims,4,-0.178816,0.178816,0.357227
mod_obs0_2,Total Porosity ,4,-94348.8,94355.8,188191
mod_obs0_2,Min. Vapor Porosity,4,404.952,487.598,809.904
mod_obs0_2,FOC,4,-1.75E+07,1.75E+07,3.48E+07
mod_obs0_2,D {air},4,-470955,473104,944775
mod_obs0_2,Pore Size Dist. Coeff. ,4,3634.96,3635.76,7258.04
mod_obs0_2,Vapor Pressure ,4,-973.289,973.299,1946.59
mod_obs0_2,Soil Source Top Conc. ,4,0,0,0
mod_obs0_2,Soil Source Bottom Conc. ,4,0,0,0
mod_obs0_2,Min Soil Moisture,4,5.64E+06,5.64E+06,1.13E+07
mod_obs0_2,q air slab,4,-7.79E+08,7.79E+08,1.56E+09
mod_obs0_2,q air vims,4,0,0,0
mod_obs5_6,Total Porosity ,4,0.34209,0.34209,0.684179
mod_obs5_6,Min. Vapor Porosity,4,0.930489,0.930489,1.86093
mod_obs5_6,FOC,4,-1.0916,1.0916,2.18318
mod_obs5_6,D {air},4,1.63004,1.63004,3.25293
mod_obs5_6,Pore Size Dist. Coeff. ,4,0.00110261,0.00110261,0.00219302
mod_obs5_6,Vapor Pressure ,4,-0.000293866,0.000293866,0.000587728
mod_obs5_6,Soil Source Top Conc. ,4,1.45E-05,1.45E-05,2.89E-05
mod_obs5_6,Soil Source Bottom Conc. ,4,0.000243232,0.000243234,0.000486467
mod_obs5_6,Min Soil Moisture,4,-0.684508,0.684508,1.35101
mod_obs5_6,q air slab,4,-1.17415,1.17415,2.34825
mod_obs5_6,q air vims,4,-0.574901,0.574901,1.14795
mod_obs0_3,Total Porosity ,4,125647,129079,255890
mod_obs0_3,Min. Vapor Porosity,4,-3481.05,4176,7914.08
mod_obs0_3,FOC,4,-264509,264815,362671
mod_obs0_3,D {air},4,9725.49,9725.49,18607.6
mod_obs0_3,Pore Size Dist. Coeff. ,4,165.995,167.628,333.718
mod_obs0_3,Vapor Pressure ,4,-43.0366,43.0551,86.0977
mod_obs0_3,Soil Source Top Conc. ,4,0,0,0
