observation_name,parameter_name,n_samples,sen_mean,sen_mean_abs,sen_std_dev
mod_obs5_4,Total Porosity,4,-107726,107726,139020
mod_obs5_4,Min. Vapor Porosity,4,102632,103511,206438
mod_obs5_4,FOC,4,-48269.2,48269.2,69717.2
mod_obs5_4,D_{air},4,-351.038,356.959,709.99
mod_obs5_4,Pore Size Dist. Coeff. ,4,-0.508716,0.509041,1.01152
mod_obs5_4,Vapor Pressure,4,0.00863492,0.00870694,0.0173659
mod_obs5_4,Soil Source Top Conc. ,4,2.00529,2.00529,2.3143
mod_obs5_4,Soil Source Bottom Conc. ,4,0.0102639,0.0102639,0.0198853
mod_obs5_4,Min. Soil Moisture,4,0.865102,1.23932,2.23956
mod_obs5_4,q_{air} VIMS,4,-93.1933,93.1933,179.33
mod_obs0_1,Total Porosity,4,-1.19E+07,1.19E+07,1.02E+07
mod_obs0_1,Min. Vapor Porosity,4,4.11E+06,4.11E+06,8.21E+06
mod_obs0_1,FOC,4,-3.08E+07,3.08E+07,2.30E+07
mod_obs0_1,D_{air},4,5702.52,5702.52,7712.9
mod_obs0_1,Pore Size Dist. Coeff. ,4,12.6807,12.6807,10.4494
mod_obs0_1,Vapor Pressure,4,-1.06876,1.06876,2.03658
mod_obs0_1,Soil Source Top Conc. ,4,252.338,252.338,100.153
mod_obs0_1,Soil Source Bottom Conc. ,4,7.30601,7.30601,8.7998
mod_obs0_1,Min. Soil Moisture,4,-8244.25,8244.25,13006.6
mod_obs0_1,q_{air} VIMS,4,0,0,0
mod_obs5_7,Total Porosity,4,-10559.6,10559.8,12234.2
mod_obs5_7,Min. Vapor Porosity,4,18392.6,18392.6,23805.1
mod_obs5_7,FOC,4,-9720.26,9720.26,19437.1
mod_obs5_7,D_{air},4,1.14569,1.14569,2.29051
mod_obs5_7,Pore Size Dist. Coeff. ,4,1.46E-06,1.46E-06,1.21E-06
mod_obs5_7,Vapor Pressure,4,-7.65E-08,7.65E-08,1.51E-07
mod_obs5_7,Soil Source Top Conc. ,4,-6.72E-10,6.72E-10,5.28E-10
mod_obs5_7,Soil Source Bottom Conc. ,4,-8.15E-10,8.15E-10,6.16E-10
mod_obs5_7,Min. Soil Moisture,4,-0.0351121,0.0351121,0.0670793
mod_obs5_7,q_{air} VIMS,4,-0.0055479,0.0055479,0.00989127
mod_obs0_2,Total Porosity,4,9.10E+06,1.17E+07,1.46E+07
mod_obs0_2,Min. Vapor Porosity,4,2.89E+06,2.89E+06,5.78E+06
mod_obs0_2,FOC,4,-1.51E+08,1.51E+08,1.01E+08
mod_obs0_2,D_{air},4,15709.8,15709.8,21252.9
mod_obs0_2,Pore Size Dist. Coeff. ,4,28.4558,28.4558,32.0032
mod_obs0_2,Vapor Pressure,4,-2.83944,2.83944,5.64172
mod_obs0_2,Soil Source Top Conc. ,4,696.145,696.145,276.957
mod_obs0_2,Soil Source Bottom Conc. ,4,20.1513,20.1513,24.2791
mod_obs0_2,Min. Soil Moisture,4,-22385,22385,35223.5
mod_obs0_2,q_{air} VIMS,4,0,0,0
mod_obs5_6,Total Porosity,4,-33463.9,33464,43335
mod_obs5_6,Min. Vapor Porosity,4,80966.6,80966.6,106241
