Parameter,Value,Description,,,,,,,,,
DENSLIQ,8.00E-01,Density of NAPL in grams/cc,,,,,,,,,
SDENS,1.50E+00,Density of dry soil in grams/cc,,,,,,,,,
TEMP,1.60E+01,Temperature of soil (°C),,,,,,,,,
FOC,1.00E-01,Fraction organic carbon (M/M),,,,,,,,,
P_air,1.20E+01,Air entry pressure (cm of water),,,,,,,,,
airdiff,1.00E-01,Free-air diffusion coefficient (cm²/s) Average = 8e-2,,,,,,,,,
por,3.78E-01,Total porosity at all nodes,,,,,,,,,
por_v_min,1.46E-01,Minimum vapor porosity,,,,,,,,,
theta_initial,1.20E-01,Initial soil moisture content (M/M),,,,,,,,,
theta_min,1.00E-01, Min theta ,,,,,,,,,
K_sat,1.40E-04,Saturated hydraulic conductivity (cm/s),,,,,,,,,
BC_lambda,0.41,Brooks Corey soil parameter (unitless),,,,,,,,,
q_air_Slab,0.00E+00,Vapor discharge - Slab condition ,,,,,,,,,
q_air_VIMS,1.00E-02,Vapor discharge - VIMS condition,,,,,,,,,
q_air_Open,1.00E+00,Vapor discharge - Open air condition ,,,,,,,,,
q_var,0,Variability for q,,,,,,,,,
q_air_JE,2.78E-04,Vapor Discharge - JE Default,,,,,,,,,
q_air_VIMS_Site,2.26E-01,Vapor discharge observed - VIMS condition,,,,,q = 2.96 E-4 cm/sec,,q =1E-8 cm/sec,,Post VIMS GW Only'
ctot_1,2.48E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_1,0.10518809,ctot_1,4.96E+00,0.3
ctot_2,2.57E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_2,0.59185448,ctot_2,5.14E+00,0.59185448
ctot_3,2.66E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_3,1.084047885,ctot_3,5.32E+00,1.084047885
ctot_4,2.75E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_4,1.584410802,ctot_4,5.50E+00,1.584410802
ctot_5,2.84E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_5,2.094162162,ctot_5,5.68E+00,2.094162162
ctot_6,2.93E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_6,2.610755124,ctot_6,5.86E+00,2.610755124
ctot_7,3.03E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_7,3.124709998,ctot_7,6.06E+00,3.124709998
ctot_8,3.12E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_8,3.616354841,ctot_8,6.24E+00,3.616354841
ctot_9,3.22E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_9,4.074733814,ctot_9,6.44E+00,4.074733814
ctot_10,3.32E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_10,4.495913247,ctot_10,6.64E+00,4.495913247
ctot_11,3.42E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_11,4.880744531,ctot_11,6.84E+00,4.880744531
ctot_12,3.53E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_12,5.233532306,ctot_12,7.06E+00,5.233532306
ctot_13,3.64E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_13,5.563952484,ctot_13,7.28E+00,5.563952484
ctot_14,3.76E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_14,5.901755399,ctot_14,7.52E+00,5.901755399
ctot_15,3.94E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_15,6.480134582,ctot_15,7.88E+00,6.480134582
ctot_16,4.05E-01,Total Mass Concentration at steady state (mg/kg),,,,,ctot_16,8.1,ctot_16,8.10E+00,8.1
Conc_Soil_1,0.00E+00,Soil Concentration (mg/kg),,,,,,,,,
Conc_Soil_2,0.00E+00,Soil Concentration (mg/kg),,,,,,,,,
Soil_Frac_1,7.00E-02,Soil Source Molar fraction of compound TCE,,,,,,,,,
Soil_Frac_2,6.00E-01,Soil Source Molar fraction of compound PCE,,,,,,,,,
Soil_Frac_3,2.00E-02,Soil Source Molar fraction of compound CIS,,,,,,,,,
Soil_Frac_4,2.00E-03,Soil Source Molar fraction of compound Toluene,,,,,,,,,
Soil_Frac_5,7.80E-05,Soil Source Molar fraction of compound Vinyl Chloride,,,,,,,,,
Soil_Frac_6,0.00E+00,Soil Source Molar fraction of compound Total Xylenes,,,,,,,,,
Soil_Frac_7,0.00E+00,Soil Source Molar fraction of compound Ethylbenzene,,,,,,,,,
GW_Frac_1,0.0005,GW Source Molar fraction of compound TCE,,,,,,,,,
GW_Frac_2,0.03,GW Source Molar fraction of compound PCE,,,,,,,,,
GW_Frac_3,0.005,GW Source Molar fraction of compound CIS,,,,,,,,,
GW_Frac_4,0.00058,GW Source Molar fraction of compound Toluene,,,,,,,,,
GW_Frac_5,0.00008,GW Source Molar fraction of compound Vinyl Chloride,,,,,,,,,
GW_Frac_6,0.006,GW Source Molar fraction of compound Total Xylenes,,,,,,,,,
GW_Frac_7,0.002,GW Source Molar fraction of compound Ethylbenzene,,,,,,,,,
