observation_name,parameter_name,n_samples,sen_mean,sen_mean_abs,sen_std_dev
mod_obs5_4,Porosity ,4,-0.0271544,0.0271544,0.0543089
mod_obs5_4,Min. Vapor Porosity,4,0.0456794,0.0456794,0.0913521
mod_obs5_4,FOC,4,-0.0666068,0.0666068,0.133208
mod_obs5_4,D {air},4,0.112832,0.112832,0.224605
mod_obs5_4,Pore Size Dist. Coeff. ,4,9.90E-05,9.90E-05,0.000196173
mod_obs5_4,Vapor Pressure ,4,-2.58E-05,2.58E-05,5.15E-05
mod_obs5_4,Soil Source Top Conc. ,4,3.10E-07,3.10E-07,6.21E-07
mod_obs5_4,Soil Source Bottom Conc. ,4,4.10E-06,4.10E-06,8.21E-06
mod_obs5_4,Min Soil Moisture,4,-0.0953357,0.0953357,0.187979
mod_obs5_4,q air slab,4,-0.122884,0.122884,0.245758
mod_obs5_4,q air vims,4,-0.0486083,0.0486083,0.096939
mod_obs0_1,Porosity ,4,-13117.3,13117.4,24195.5
mod_obs0_1,Min. Vapor Porosity,4,-1.24E+03,1.27E+03,2.51E+03
mod_obs0_1,FOC,4,-1.34E+06,1.34E+06,2.66E+06
mod_obs0_1,D {air},4,-1.49E+04,1.57E+04,3.09E+04
mod_obs0_1,Pore Size Dist. Coeff. ,4,660.907,661.82,1319.97
mod_obs0_1,Vapor Pressure ,4,-174.066,174.077,348.146
mod_obs0_1,Soil Source Top Conc. ,4,0,0,0
mod_obs0_1,Soil Source Bottom Conc. ,4,0,0,0
mod_obs0_1,Min Soil Moisture,4,-8.26E+05,8.26E+05,1.65E+06
mod_obs0_1,q air slab,4,-7.84E+07,7.84E+07,1.57E+08
mod_obs0_1,q air vims,4,0,0,0
mod_obs5_7,Porosity ,4,-0.06529,0.06529,0.13058
mod_obs5_7,Min. Vapor Porosity,4,0.172635,0.172635,0.34526
mod_obs5_7,FOC,4,-2.49E-01,2.49E-01,4.98E-01
mod_obs5_7,D {air},4,4.23E-01,4.23E-01,8.44E-01
mod_obs5_7,Pore Size Dist. Coeff. ,4,3.41E-04,3.41E-04,6.80E-04
mod_obs5_7,Vapor Pressure ,4,-8.96E-05,8.96E-05,0.000179191
mod_obs5_7,Soil Source Top Conc. ,4,3.06E-06,3.06E-06,6.12E-06
mod_obs5_7,Soil Source Bottom Conc. ,4,3.78E-05,3.78E-05,7.55E-05
mod_obs5_7,Min Soil Moisture,4,-0.289453,0.289453,0.574979
mod_obs5_7,q air slab,4,-0.346052,0.346052,0.692098
mod_obs5_7,q air vims,4,-0.172436,0.172436,0.344466
mod_obs0_2,Porosity ,4,-9.44E+04,9.44E+04,1.88E+05
mod_obs0_2,Min. Vapor Porosity,4,400.665,491.885,8.14E+02
mod_obs0_2,FOC,4,-1.75E+07,1.75E+07,3.48E+07
mod_obs0_2,D {air},4,-4.71E+05,4.73E+05,9.45E+05
mod_obs0_2,Pore Size Dist. Coeff. ,4,3.63E+03,3.64E+03,7.26E+03
mod_obs0_2,Vapor Pressure ,4,-9.73E+02,9.73E+02,1.95E+03
mod_obs0_2,Soil Source Top Conc. ,4,0,0,0
