Name,Group,Measured,Modelled,Residual,Weight,Time
mod_obs0_1,mod_group,53750,72379.9,-18629.9,0.0588235,50
mod_obs0_2,mod_group,213280,206375,6904.8,0.0588235,50
mod_obs0_3,mod_group,44550,44255.6,294.421,0.0588235,50
mod_obs0_4,mod_group,5.8,1073.66,-1067.86,0.0588235,50
mod_obs0_5,mod_group,0.15,2353.14,-2352.99,0,50
mod_obs0_6,mod_group,18,0.0322522,17.9677,0.0588235,50
mod_obs0_7,mod_group,1.5,0.0071364,1.49286,0.0588235,50
mod_obs1_1,mod_group,174,2299.57,-2125.57,0.0588235,341
mod_obs1_2,mod_group,2570,8260.45,-5690.45,0.0588235,341
mod_obs1_3,mod_group,999999,1209.01,998790,0,341
mod_obs1_4,mod_group,999999,40.1801,999959,0,341
mod_obs1_5,mod_group,999999,258.382,999741,0,341
mod_obs1_6,mod_group,999999,0.10217,999999,0,341
mod_obs1_7,mod_group,999999,0.0205907,999999,0,341
mod_obs2_1,mod_group,221,1665.92,-1444.92,0.0588235,509
mod_obs2_2,mod_group,4650,6547.37,-1897.37,0.0588235,509
mod_obs2_3,mod_group,999999,971.322,999028,0,509
mod_obs2_4,mod_group,999999,30.9717,999968,0,509
mod_obs2_5,mod_group,999999,243.094,999756,0,509
mod_obs2_6,mod_group,999999,0.159286,999999,0,509
mod_obs2_7,mod_group,999999,0.031905,999999,0,509
mod_obs3_1,mod_group,747,1410.15,-663.152,0.0588235,704
mod_obs3_2,mod_group,14700,6121.89,8578.11,0.0588235,704
mod_obs3_3,mod_group,999999,906.937,999092,0,704
mod_obs3_4,mod_group,999999,28.0374,999971,0,704
mod_obs3_5,mod_group,999999,226.172,999773,0,704
mod_obs3_6,mod_group,999999,0.179638,999999,0,704
mod_obs3_7,mod_group,999999,0.0349,999999,0,704
mod_obs4_1,mod_group,230,1244.26,-1014.26,0.0588235,865
mod_obs4_2,mod_group,3420,5799.67,-2379.67,0.0588235,865
mod_obs4_3,mod_group,999999,889.046,999110,0,865
mod_obs4_4,mod_group,999999,25.9158,999973,0,865
mod_obs4_5,mod_group,999999,214.042,999785,0,865
mod_obs4_6,mod_group,999999,0.196441,999999,0,865
mod_obs4_7,mod_group,999999,0.0373756,999999,0,865
mod_obs5_1,mod_group,695,1078.1,-383.1,0.0588235,1069
mod_obs5_2,mod_group,11600,5425.63,6174.37,0.0588235,1069
mod_obs5_3,mod_group,999999,888.475,999111,0,1069
mod_obs5_4,mod_group,999999,23.5634,999975,0,1069
mod_obs5_5,mod_group,999999,201.028,999798,0,1069
mod_obs5_6,mod_group,999999,0.217702,999999,0,1069
mod_obs5_7,mod_group,999999,0.0405141,999999,0,1069
mod_obs6_1,mod_group,124,970.029,-846.029,0.0588235,1236
mod_obs6_2,mod_group,2350,5145.39,-2795.39,0.0588235,1236
mod_obs6_3,mod_group,999999,896.52,999102,0,1236
mod_obs6_4,mod_group,999999,21.8795,999977,0,1236
mod_obs6_5,mod_group,999999,192.006,999807,0,1236
mod_obs6_6,mod_group,999999,0.235061,999999,0,1236
mod_obs6_7,mod_group,999999,0.0430831,999999,0,1236
mod_obs7_1,mod_group,363,866.849,-503.849,0.0588235,1433
mod_obs7_2,mod_group,6700,4842,1858,0.0588235,1433
mod_obs7_3,mod_group,999999,909.478,999090,0,1433
mod_obs7_4,mod_group,999999,20.133,999979,0,1433
mod_obs7_5,mod_group,999999,182.884,999816,0,1433
mod_obs7_6,mod_group,999999,0.25546,999999,0,1433
mod_obs7_7,mod_group,999999,0.0461116,999999,0,1433
mod_obs8_1,mod_group,169,791.73,-622.73,0.0588235,1609
mod_obs8_2,mod_group,3000,4593.62,-1593.62,0.0588235,1609
mod_obs8_3,mod_group,999999,921.449,999078,0,1609
mod_obs8_4,mod_group,999999,18.7627,999980,0,1609
mod_obs8_5,mod_group,999999,175.883,999823,0,1609
mod_obs8_6,mod_group,999999,0.273594,999999,0,1609
mod_obs8_7,mod_group,999999,0.0488137,999999,0,1609
mod_obs9_1,mod_group,23.4,729.611,-706.211,0.0588235,1783
mod_obs9_2,mod_group,287,4367.18,-4080.18,0.0588235,1783
mod_obs9_3,mod_group,999999,932.367,999067,0,1783
mod_obs9_4,mod_group,999999,17.5601,999981,0,1783
mod_obs9_5,mod_group,999999,169.848,999829,0,1783
mod_obs9_6,mod_group,999999,0.291421,999999,0,1783
mod_obs9_7,mod_group,999999,0.0514806,999999,0,1783
mod_obs10_1,mod_group,60.6,672.498,-611.898,0.0588235,1973
mod_obs10_2,mod_group,1010,4139.68,-3129.68,0.0588235,1973
mod_obs10_3,mod_group,999999,942.628,999056,0,1973
mod_obs10_4,mod_group,999999,16.3966,999983,0,1973
mod_obs10_5,mod_group,999999,164.115,999835,0,1973
mod_obs10_6,mod_group,999999,0.310756,999999,0,1973
mod_obs10_7,mod_group,999999,0.054386,999999,0,1973
mod_obs11_1,mod_group,377,624.798,-247.798,0.0588235,2160
mod_obs11_2,mod_group,5590,3934.08,1655.92,0.0588235,2160
mod_obs11_3,mod_group,999999,950.828,999048,0,2160
mod_obs11_4,mod_group,999999,15.3833,999984,0,2160
mod_obs11_5,mod_group,999999,159.218,999840,0,2160
mod_obs11_6,mod_group,999999,0.329634,999999,0,2160
mod_obs11_7,mod_group,999999,0.0572373,999999,0,2160
mod_obs12_1,mod_group,202,584.519,-382.519,0.0588235,2343
mod_obs12_2,mod_group,3410,3748.86,-338.856,0.0588235,2343
mod_obs12_3,mod_group,521,957.048,-436.048,0.166667,2343
mod_obs12_4,mod_group,60,14.5011,45.4989,0.166667,2343
mod_obs12_5,mod_group,15.1,155.041,-139.941,0.166667,2343
mod_obs12_6,mod_group,999999,0.347947,999999,0,2343
mod_obs12_7,mod_group,51.4,0.0600184,51.34,0.166667,2343
mod_obs13_1,mod_group,335,549.632,-214.632,0.0588235,2524
mod_obs13_2,mod_group,5160,3579.8,1580.2,0.0588235,2524
mod_obs13_3,mod_group,1290,961.566,328.434,0.166667,2524
mod_obs13_4,mod_group,55.5,13.7207,41.7793,0.166667,2524
mod_obs13_5,mod_group,1.9,151.428,-149.528,0.166667,2524
mod_obs13_6,mod_group,999999,0.365892,999999,0,2524
mod_obs13_7,mod_group,18.3,0.0627589,18.2372,0.166667,2524
mod_obs14_1,mod_group,101,519.52,-418.52,0.0588235,2700
mod_obs14_2,mod_group,652,3427.69,-2775.69,0.0588235,2700
mod_obs14_3,mod_group,1280,964.552,315.448,0.166667,2700
mod_obs14_4,mod_group,35.8,13.0383,22.7617,0.166667,2700
mod_obs14_5,mod_group,9.5,148.346,-138.846,0.166667,2700
mod_obs14_6,mod_group,999999,0.383169,999999,0,2700
mod_obs14_7,mod_group,5.9,0.0654129,5.83459,0.166667,2700
mod_obs15_1,mod_group,461,490.742,-29.7416,0.0588235,2888
mod_obs15_2,mod_group,4060,3277.41,782.59,0.0588235,2888
mod_obs15_3,mod_group,2290,966.388,1323.61,0.166667,2888
mod_obs15_4,mod_group,75.3,12.3819,62.9181,0.166667,2888
mod_obs15_5,mod_group,6.98,145.464,-138.484,0.166667,2888
mod_obs15_6,mod_group,95.5,0.401426,95.0986,0.333333,2888
mod_obs15_7,mod_group,10.8,0.0682348,10.7318,0.166667,2888
mod_obs16_1,mod_group,226,465.637,-239.637,0.0588235,3070
mod_obs16_2,mod_group,1720,3142.87,-1422.87,0.0588235,3070
mod_obs16_3,mod_group,892,967.009,-75.0089,0.166667,3070
mod_obs16_4,mod_group,41.1,11.8086,29.2914,0.166667,3070
mod_obs16_5,mod_group,3.43,143.025,-139.595,0.166667,3070
mod_obs16_6,mod_group,37.8,0.418895,37.3811,0.333333,3070
mod_obs16_7,mod_group,7.07,0.0709532,6.99905,0.166667,3070
mod_obs17_1,mod_group,442,442.795,-0.795345,0.0588235,3070
mod_obs17_2,mod_group,6050,3018.13,3031.87,0.0588235,3070
mod_obs17_3,mod_group,1920,966.647,953.353,0.166667,3070
mod_obs17_4,mod_group,26.6,11.2885,15.3115,0.166667,3070
mod_obs17_5,mod_group,4.01,140.889,-136.879,0.166667,3070
mod_obs17_6,mod_group,69,0.436154,68.5638,0.333333,3070
mod_obs17_7,mod_group,9.58,0.0736569,9.50634,0.166667,3070
