observation_name,parameter_name,n_samples,sen_mean,sen_mean_abs,sen_std_dev
mod_obs2_6,por,4,-351.683,411.874,599.674
mod_obs2_6,por v min,4,-1217.93,1240.96,1573.49
mod_obs2_6,FOC,4,-597.924,597.924,119.574
mod_obs2_6,airdiff,4,0,0,0
mod_obs2_6,k sat,4,-2.49E+06,2.49E+06,4.50E+06
mod_obs2_6,Pore Size Dist.,4,2061.85,2062.9,3678.02
mod_obs2_6,p air,4,-253.883,253.928,506.332
mod_obs2_6,conc s top,4,0,0,0
mod_obs2_6,conc s bot,4,0,0,0
mod_obs2_6,theta min,4,0,0,0
mod_obs2_6,q air slab,4,0,0,0
mod_obs2_6,q air vims,4,0.00E+00,0.00E+00,0.00E+00
mod_obs2_6,q var,4,0.00E+00,0.00E+00,0.00E+00
mod_obs1_1,por,4,4.30E+03,6.22E+03,1.01E+04
mod_obs1_1,por v min,4,-2669.04,5103.01,8200.54
mod_obs1_1,FOC,4,-18103.6,18103.6,26897
mod_obs1_1,airdiff,4,0,0,0
mod_obs1_1,k sat,4,2.70E+07,2.99E+07,5.78E+07
mod_obs1_1,Pore Size Dist.,4,277226,277226,551568
mod_obs1_1,p air,4,-59967.4,59967.4,119498
mod_obs1_1,conc s top,4,0,0,0
mod_obs1_1,conc s bot,4,0,0,0
mod_obs1_1,theta min,4,0,0,0
mod_obs1_1,q air slab,4,0.00E+00,0.00E+00,0.00E+00
mod_obs1_1,q air vims,4,0.00E+00,0.00E+00,0.00E+00
mod_obs1_1,q var,4,0.00E+00,0.00E+00,0.00E+00
mod_obs2_5,por,4,5.98E+06,5.98E+06,1.20E+07
mod_obs2_5,por v min,4,-4.07E+07,4.07E+07,8.14E+07
mod_obs2_5,FOC,4,-2.90E+06,2.90E+06,5.80E+06
mod_obs2_5,airdiff,4,0,0,0
mod_obs2_5,k sat,4,-3.39E+11,3.39E+11,6.77E+11
mod_obs2_5,Pore Size Dist.,4,3.13E+07,3.13E+07,4.52E+07
mod_obs2_5,p air,4,-1.81E+06,1.81E+06,3.11E+06
mod_obs2_5,conc s top,4,0,0,0
mod_obs2_5,conc s bot,4,0,0,0
mod_obs2_5,theta min,4,0.00E+00,0.00E+00,0.00E+00
mod_obs2_5,q air slab,4,0.00E+00,0.00E+00,0.00E+00
mod_obs2_5,q air vims,4,0.00E+00,0.00E+00,0.00E+00
mod_obs2_5,q var,4,0,0,0
mod_obs1_2,por,4,-175386,175386,211672
mod_obs1_2,por v min,4,-1.34E+06,1.34E+06,1.55E+06
mod_obs1_2,FOC,4,-165038,165038,101157
mod_obs1_2,airdiff,4,0,0,0
mod_obs1_2,k sat,4,-9.30E+07,9.67E+07,1.90E+08
mod_obs1_2,Pore Size Dist.,4,323131,325381,649262
mod_obs1_2,p air,4,-71063.1,71074.3,142114
mod_obs1_2,conc s top,4,0,0,0
mod_obs1_2,conc s bot,4,0,0,0
mod_obs1_2,theta min,4,0.00E+00,0.00E+00,0.00E+00
mod_obs1_2,q air slab,4,0,0,0
mod_obs1_2,q air vims,4,0,0,0
mod_obs1_2,q var,4,0,0,0
mod_obs2_4,por,4,35.8934,200.627,271.303
mod_obs2_4,por v min,4,735.344,761.385,874.74
mod_obs2_4,FOC,4,-402.251,402.251,249.625
mod_obs2_4,airdiff,4,0,0,0
mod_obs2_4,k sat,4,-4.66E+06,4.66E+06,9.20E+06
mod_obs2_4,Pore Size Dist.,4,5378.82,5378.82,9826.65
mod_obs2_4,p air,4,-771.27,771.27,1536.51
mod_obs2_4,conc s top,4,0.00E+00,0.00E+00,0.00E+00
mod_obs2_4,conc s bot,4,0.00E+00,0.00E+00,0.00E+00
mod_obs2_4,theta min,4,0.00E+00,0.00E+00,0.00E+00
mod_obs2_4,q air slab,4,0,0,0
mod_obs2_4,q air vims,4,0,0,0.00E+00
mod_obs2_4,q var,4,0,0,0
mod_obs1_3,por,4,562456,625920,1.21E+06
mod_obs1_3,por v min,4,-178957,178957,97691.5
mod_obs1_3,FOC,4,-1.73E+06,1.73E+06,3.31E+06
mod_obs1_3,airdiff,4,0,0,0
mod_obs1_3,k sat,4,4.13E+09,4.20E+09,8.35E+09
mod_obs1_3,Pore Size Dist.,4,9.22E+06,9.22E+06,1.83E+07
mod_obs1_3,p air,4,-2.08E+06,2.08E+06,4.09E+06
mod_obs1_3,conc s top,4,0.00E+00,0.00E+00,0.00E+00
mod_obs1_3,conc s bot,4,0.00E+00,0.00E+00,0.00E+00
mod_obs1_3,theta min,4,0,0,0
mod_obs1_3,q air slab,4,0.00E+00,0.00E+00,0.00E+00
mod_obs1_3,q air vims,4,0,0,0
mod_obs1_3,q var,4,0,0,0
mod_obs2_3,por,4,239363,297934,556818
mod_obs2_3,por v min,4,57769.8,121010,144194
mod_obs2_3,FOC,4,-811520,811520,1.56E+06
mod_obs2_3,airdiff,4,0,0,0
mod_obs2_3,k sat,4,-2.50E+10,2.50E+10,4.99E+10
mod_obs2_3,Pore Size Dist.,4,7.05E+06,7.05E+06,9.74E+06
mod_obs2_3,p air,4,-1.05E+06,1.05E+06,2.06E+06
mod_obs2_3,conc s top,4,0,0,0
mod_obs2_3,conc s bot,4,0,0,0
mod_obs2_3,theta min,4,0,0,0
mod_obs2_3,q air slab,4,0,0,0
mod_obs2_3,q air vims,4,0,0,0
mod_obs2_3,q var,4,0,0,0
mod_obs1_4,por,4,69.9683,220.071,286.344
mod_obs1_4,por v min,4,-4.22778,350.075,534.76
mod_obs1_4,FOC,4,-652.994,652.994,426.195
mod_obs1_4,airdiff,4,0,0,0
mod_obs1_4,k sat,4,229036,444868,7.72E+05
mod_obs1_4,Pore Size Dist.,4,1.20E+04,1.20E+04,2.38E+04
mod_obs1_4,p air,4,-2.56E+03,2.56E+03,5.11E+03
mod_obs1_4,conc s top,4,0,0,0
mod_obs1_4,conc s bot,4,0,0,0
mod_obs1_4,theta min,4,0,0,0
mod_obs1_4,q air slab,4,0,0,0
mod_obs1_4,q air vims,4,0,0,0
mod_obs1_4,q var,4,0,0,0
mod_obs2_2,por,4,-111648,111893,136630
mod_obs2_2,por v min,4,-690281,690281,799044
mod_obs2_2,FOC,4,-80437.9,80437.9,48134.2
mod_obs2_2,airdiff,4,0.00E+00,0.00E+00,0.00E+00
mod_obs2_2,k sat,4,-1.13E+08,1.13E+08,1.36E+08
mod_obs2_2,Pore Size Dist.,4,1.35E+05,1.37E+05,2.62E+05
mod_obs2_2,p air,4,-19404,19415.2,38782.6
mod_obs2_2,conc s top,4,0.00E+00,0.00E+00,0.00E+00
mod_obs2_2,conc s bot,4,0,0,0
mod_obs2_2,theta min,4,0,0,0
mod_obs2_2,q air slab,4,0,0,0
mod_obs2_2,q air vims,4,0,0,0
mod_obs2_2,q var,4,0,0,0
mod_obs1_5,por,4,1.66E+07,1.66E+07,3.32E+07
mod_obs1_5,por v min,4,-7.92E+07,7.92E+07,1.58E+08
mod_obs1_5,FOC,4,-7.18E+06,7.18E+06,1.44E+07
mod_obs1_5,airdiff,4,0,0,0
mod_obs1_5,k sat,4,3.02E+10,3.02E+10,6.04E+10
mod_obs1_5,Pore Size Dist.,4,4.52E+06,4.52E+06,7.99E+06
mod_obs1_5,p air,4,-1.19E+06,1.19E+06,1.80E+06
mod_obs1_5,conc s top,4,0,0,0
mod_obs1_5,conc s bot,4,0,0,0
mod_obs1_5,theta min,4,0,0,0
mod_obs1_5,q air slab,4,0,0,0
mod_obs1_5,q air vims,4,0,0,0
mod_obs1_5,q var,4,0,0,0
mod_obs1_6,por,4,-497.956,560.011,779.936
mod_obs1_6,por v min,4,-3858.21,3858.21,4.57E+03
mod_obs1_6,FOC,4,-1.04E+03,1.04E+03,2.79E+02
mod_obs1_6,airdiff,4,0.00E+00,0.00E+00,0.00E+00
mod_obs1_6,k sat,4,-366780,452825,845297
mod_obs1_6,Pore Size Dist.,4,4764.06,4764.06,9464.99
mod_obs1_6,p air,4,-1003.75,1003.8,2006.57
mod_obs1_6,conc s top,4,0,0,0
mod_obs1_6,conc s bot,4,0,0,0
mod_obs1_6,theta min,4,0,0,0
mod_obs1_6,q air slab,4,0,0,0
mod_obs1_6,q air vims,4,0,0,0
mod_obs1_6,q var,4,0,0,0
mod_obs2_1,por,4,2136.48,4080.6,6311.54
mod_obs2_1,por v min,4,6741.7,7372.14,6897.13
mod_obs2_1,FOC,4,-9740.53,9740.53,13698.6
mod_obs2_1,airdiff,4,0,0,0
mod_obs2_1,k sat,4,-2.05E+08,2.05E+08,4.08E+08
mod_obs2_1,Pore Size Dist.,4,134345,134345,228764
mod_obs2_1,p air,4,-19699.4,19699.4,38980.5
mod_obs2_1,conc s top,4,0,0,0
mod_obs2_1,conc s bot,4,0,0,0
mod_obs2_1,theta min,4,0,0,0
mod_obs2_1,q air slab,4,0,0,0
mod_obs2_1,q air vims,4,0,0,0
mod_obs2_1,q var,4,0,0,0
mod_obs1_7,por,4,-120.462,130.381,211.787
mod_obs1_7,por v min,4,-816.844,816.844,1004.9
mod_obs1_7,FOC,4,-316.958,316.958,141.881
mod_obs1_7,airdiff,4,0,0,0
mod_obs1_7,k sat,4,-130550,130550,219675
mod_obs1_7,Pore Size Dist.,4,2308.56,2308.56,4601.69
mod_obs1_7,p air,4,-488.175,488.183,976.301
mod_obs1_7,conc s top,4,0,0,0
mod_obs1_7,conc s bot,4,0,0,0
mod_obs1_7,theta min,4,0,0,0
mod_obs1_7,q air slab,4,0,0,0
mod_obs1_7,q air vims,4,0,0,0
