name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
por,0.38,0.0225,0.335,0.425,0.38033,0.0222397,0.335851,0.424809
por_v_min,0.12,0.04225,0.0355,0.2045,0.011,0.0408047,-0.0706094,0.0926094
blahblah,0.015,0.124997,-0.234995,0.264995,0.0149973,0.00346633,0.00806461,0.0219299
airdiff,0.093,0.024975,0.04305,0.14295,0.1,0.023009,0.0539821,0.146018
brooks,1.2,0.725,-0.25,2.65,0.917765,0.517085,-0.116406,1.95193
p_air,12,3,6,18,12.002,2.83168,6.33867,17.6654
conc_s_top,20,45,-69.9999,110,17.2264,4.72604,7.77432,26.6785
conc_s_bot,8,45,-81.9999,97.9999,8.33531,6.56986,-4.80442,21.475
theta_min,0.12,0.0375,0.045,0.195,0.134725,0.0302126,0.0742996,0.19515
q_air_slab,-7,5.75,-18.5,4.5,-6.97395,5.74801,-18.47,4.52206
q_air_vims,-2,1.25,-4.5,0.5,-2.08287,0.112769,-2.30841,-1.85733
