time,elapsed_seconds,message
12:39:58,7.15e-05,PEST++ performance logger started
12:39:58,0.0006757,starting to process control file
12:39:58,0.0008812,finished processing control file
12:39:58,0.003673,starting basic model IO error checking
12:39:58,0.0008724,finished basic model IO error checking
12:39:58,0.0001344,loading parcov
12:39:58,0.0024983,beginning iteration 1
12:39:58,0.0001023,commencing to build jacobian parameter sets
12:39:58,0.0017548,jacobian parameter sets built, commencing model runs
12:41:01,63.0032,jacobian runs complete, processing runs
12:41:01,0.0010741,processing jacobian runs complete
12:41:01,1.73e-05,saving jacobian and sen files
12:41:01,0.0023734,commencing calculation of upgrade vector
12:41:01,0.0005487,forming JtQJ matrix
12:41:01,8.64e-05,commencing to scale JtQJ matrix- first SVD...
12:41:01,1.23e-05,starting REDSVD
12:41:01,9.16e-05,retrieving REDSVD components
12:41:01,2.08e-05,triming REDSVD components to 10elements
12:41:01,2.59e-05,done REDSVD
12:41:01,4.89e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,8.6e-06,JS
12:41:01,3.73e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:41:01,7.69e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,9.5e-06,commencing SVD factorization of lambda-scaled JtQJ
12:41:01,8.1e-06,starting REDSVD
12:41:01,5.58e-05,retrieving REDSVD components
12:41:01,1.73e-05,triming REDSVD components to 6elements
12:41:01,1.3e-05,done REDSVD
12:41:01,9.4e-06,SVD factorization complete
12:41:01,0.000499,commencing linear algebra multiplication to compute ugrade
12:41:01,1.71e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11Vt info: rows = 6: cols = 11: size = 66: nonzeros = 66
12:41:01,9e-06,U info: rows = 11: cols = 6: size = 66: nonzeros = 66
12:41:01,9.7e-06,jac info: rows = 66: cols = 11: size = 726: nonzeros = 721
12:41:01,4.79e-05,linear algebra multiplication to compute ugrade complete
12:41:01,3.49e-05,commencing check of parameter bounds and gradients
12:41:01,0.0019086,beginning upgrade vector calculations, lambda = 0.1
12:41:01,0.0001319,commencing calculation of upgrade vector
12:41:01,0.0006492,forming JtQJ matrix
12:41:01,7.65e-05,commencing to scale JtQJ matrix- first SVD...
12:41:01,1.41e-05,starting REDSVD
12:41:01,6.49e-05,retrieving REDSVD components
12:41:01,2.23e-05,triming REDSVD components to 10elements
12:41:01,1.93e-05,done REDSVD
12:41:01,3.57e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,1.08e-05,JS
12:41:01,3.42e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:41:01,7.75e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,1.24e-05,commencing SVD factorization of lambda-scaled JtQJ
12:41:01,1.03e-05,starting REDSVD
12:41:01,5.81e-05,retrieving REDSVD components
12:41:01,1.98e-05,triming REDSVD components to 6elements
12:41:01,2.92e-05,done REDSVD
12:41:01,2.44e-05,SVD factorization complete
12:41:01,0.0002127,commencing linear algebra multiplication to compute ugrade
12:41:01,1.51e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11Vt info: rows = 6: cols = 11: size = 66: nonzeros = 66
12:41:01,1.64e-05,U info: rows = 11: cols = 6: size = 66: nonzeros = 66
12:41:01,1.29e-05,jac info: rows = 66: cols = 11: size = 726: nonzeros = 721
12:41:01,9.19e-05,linear algebra multiplication to compute ugrade complete
12:41:01,5.04e-05,commencing check of parameter bounds and gradients
12:41:01,2.29e-05,commencing calculation of upgrade vector
12:41:01,0.0005295,forming JtQJ matrix
12:41:01,8.92e-05,commencing to scale JtQJ matrix- first SVD...
12:41:01,1.25e-05,starting REDSVD
12:41:01,5.55e-05,retrieving REDSVD components
12:41:01,3.11e-05,triming REDSVD components to 10elements
12:41:01,4.35e-05,done REDSVD
12:41:01,4.58e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,2.44e-05,JS
12:41:01,5.29e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:41:01,9.25e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,2.65e-05,commencing SVD factorization of lambda-scaled JtQJ
12:41:01,7.22e-05,starting REDSVD
12:41:01,8e-05,retrieving REDSVD components
12:41:01,4.69e-05,triming REDSVD components to 6elements
12:41:01,1.69e-05,done REDSVD
12:41:01,1.16e-05,SVD factorization complete
12:41:01,0.0002644,commencing linear algebra multiplication to compute ugrade
12:41:01,3.05e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11Vt info: rows = 6: cols = 11: size = 66: nonzeros = 66
12:41:01,2.75e-05,U info: rows = 11: cols = 6: size = 66: nonzeros = 66
